videoId,title,channelTitle,publishTime
e20vaAtncsM,"What are CHEMTRAILS? Proving they EXIST by ""CAPTAIN"" Joe",Captain Joe,2017-03-29T15:24:56Z
0yE-AU8kNv4,Why Jets Leave White Trails In The Sky,Tech Insider,2017-08-08T20:13:37Z
nfdCnPZGwt0,Crash Course: How Contrails Form,Boldmethod,2015-06-18T02:04:26Z
LkrnpO5v0z8,2017 Blue Angels NAF El Centro Air Show,spencerhughes2255,2017-03-17T07:51:27Z
6zl1K3Bsi8Q,How much Radiation do Pilots get from space?,Mentour Pilot,2018-07-19T11:24:42Z
DtwD-c9hn58,Inside the Mind of a Thief | Burglar Confessions,City of Allen - ACTV,2015-12-04T21:58:03Z
WR6uSXW-8p4,Why Bill Gates Is Funding Solar Geoengineering Research,CNBC,2019-09-07T02:11:08Z
AyBqLfylez8,"Salfate habla sobre la conspiración de los ""Chemtrails"" (Parte 1)",Hola Chile La Red,2013-02-11T15:31:23Z
5WdLV3YRMvw,Why is Project HAARP so controversial?,Curious Droid,2019-06-14T21:39:35Z
LnFc5ISF96I,For The Chemtrail Fans,AIRBOYD,2018-08-10T18:12:12Z
drhAE5Tq_us,what fresh hell... ✰ Chemtrails Over the Country Club ✰ Lana Del Rey Reaction,caitlin marie reacts,2021-01-12T17:16:29Z
vC_S2YsmwDk,Conspiracy Theory  | Eugénie Mérieau | TEDxUniGoettingen,TEDx Talks,2018-03-12T17:49:15Z
7fnCQC7bLs0,Humanoid Robot Sophia - Almost Human Or PR Stunt,CNBC,2018-06-05T15:44:45Z
iyW_-tHf0Qw,Joe Rogan on Chemtrails,JRE Clips,2017-12-12T21:45:08Z
yziiGH3lZ54,Fighter Pilot Reveals SHOCKING TRUTH about CHEMTRAILS!,C.W. Lemoine,2019-06-17T11:19:51Z
5bpQ9-IQffw,What Really Causes Chemtrails?,Today I Found Out,2018-09-26T07:52:52Z
PNatkPqC0J0,Chemtrails Proven,AgentJayZ,2015-03-30T02:11:10Z
c8SwOnmDSQ0,Why a Harvard scientist is pretty confident chemtrails don't exist,CBC News,2016-08-26T17:30:50Z
GCHCi511sho,"Chem Trails Revealed! Well, Cloudseeding",AVweb,2019-11-02T18:00:25Z
7yGZdTznsSs,Windows 10 Tips And Tricks,Tech Insider,2021-01-29T18:55:25Z
AsgHrLWEFbA,We Explain The New World Order Conspiracy Theory,BuzzFeed Unsolved Network,2019-10-30T18:15:43Z
QtBS8COhhhM,Prince Andrew & the Epstein Scandal: The Newsnight Interview - BBC News,BBC News,2019-11-17T11:50:38Z
2BdK8d4TH8o,Who Invented Nachos and Why are They Called That?,Today I Found Out,2018-05-17T08:05:34Z
ZonPvpgcBc0,Chemtrails,Reactions,2018-02-01T15:45:07Z
WyHoaThrxSs,"What Are Airplane Chemtrails, Really?",Seeker,2016-07-28T16:13:08Z
